	ADIm1	ADIm2	ADIm3	ADIm4	ADIm5	ADIm6	ADIm7	ADIm8	ADI91011	RMSM	
0	-0.38706855100000004	-1.1937961240000001	-0.973299646	0.15824359400000002	-0.24694209399999997	-0.069376366	0.302392297	0.218392693	-1.820330677909025	0.9062794810909695	1
1	-0.099193434	-0.9932849579999999	-0.36166605	0.204833342	-0.837582409	-0.641987684	-0.254815942	-0.379259574	-2.039036284950589	0.9110805260324497	1
2	-0.204276498	-1.1147776870000001	-0.406118652	-0.11691960300000001	-0.77556961	-0.753092723	-0.081520195	-0.047442150999999995	-1.2858318358999195	0.912742502839634	1
3	1.080125462	0.455753224	-0.494340361	0.11574577900000001	-1.64103004	-1.6893852459999998	-0.9455622859999999	-0.857492658	-1.071560317434089	0.9566513426835405	1
4	-1.102244233	-2.994605003	-2.034215286	-1.7965243340000001	-1.041387772	-0.212968827	0.294011831	0.103498634	-0.08382885321955277	0.91903929542794	1
5	1.033777922	0.62781765	0.7088679729999999	0.9639872290000001	-0.570432089	-0.6886823870000001	-0.226930379	0.22163720000000003	0.7558706549572791	0.9199285997812419	1
6	-0.47832884299999995	-0.29351785	0.077898713	0.589451356	-0.24914523600000002	-0.273429519	-0.084926801	-0.34367782	0.734307560813471	0.92546327951886	1
7	-0.481548895	-0.48584958	-0.43719234	0.114115978	-0.77417708	-1.367703306	-0.7770090820000001	-0.805050077	0.7078485092764305	0.9233217886701194	1
8	-0.46169408	-0.506681916	-0.141881335	0.22744881	-0.997138382	-1.313530996	-0.829717461	-0.556270676	0.5403790585088092	0.9671120308231334	1
9	-0.8379565390000001	-1.356096241	-1.4828557709999999	-0.116152378	-1.960741118	-2.8086097289999996	-1.9376381230000002	-2.478579661	-1.5317075892836582	0.9321942922424187	1
10	1.287529653	1.458507674	1.7082644519999999	1.7373027490000001	1.454654867	1.685926169	1.198936477	1.009485194	1.1967953138680831	0.9023843503765663	1
11	-1.10187603	-0.932714037	-0.973339356	-1.205753535	-0.915257724	-0.66979759	-1.050948601	-1.003364957	-0.33951980763024997	0.9779443573668924	1
12	-1.121615431	-1.222799638	-1.61779278	-1.413328853	-1.4857342269999998	-1.599473251	-1.243944798	-1.126462166	-1.875890433344815	0.9407203886797274	1
13	-0.608602128	-1.158174718	-0.8048887790000001	-1.24772037	-1.271167965	-0.24693581899999997	-0.041770972	-0.280753298	0.03630464333697084	0.9320040660291872	1
14	-0.391420759	-1.071957494	-1.015058936	-1.251488744	-1.889056123	-0.649593132	-0.321722455	-0.310259495	0.22508249281839932	0.9227736897768416	1
15	1.255127339	1.338850758	1.651653511	1.8384779830000002	1.76996833	1.724213095	1.669531759	1.780583401	2.21250804277587	-0.7671450563498332	1
16	-0.124501255	0.38934915600000003	1.017939856	1.065573911	1.109928244	0.875583775	0.875780095	1.330532029	1.873587300298672	-0.8496371637229033	1
17	0.950204087	0.5333746429999999	0.669714496	1.32170149	0.394812815	0.060439413	0.590968691	0.584491591	1.7650222230179151	-0.8350091740413688	1
