	ADIm1	ADIm2	ADIm3	ADIm4	ADIm5	ADIm6	ADIm7	ADIm8	RMSM	ADI91011	
0	0.087817249	-0.7278435879999999	-0.582862181	-0.308798143	-0.926149853	-0.33105745	-0.084833862	-0.863395405	0.9062794810909695	0.9062794810909695	1
1	-0.040984623	-0.678476764	-0.679741467	0.24307821	-0.736513768	-0.277028587	-0.36856105200000006	-0.961068138	0.9110805260324497	0.9110805260324497	1
2	0.175422308	-0.42935696100000004	-0.596137143	0.282600545	-0.41681994299999997	-0.122727689	-0.193826556	-0.809834961	0.912742502839634	0.912742502839634	1
3	-0.253457431	-0.982034101	-1.063290512	0.153703172	-0.902966589	-0.663793521	-0.9482172040000001	-1.5867448469999998	0.9566513426835405	0.9566513426835405	1
4	0.225508963	-0.8570305840000001	-0.9137197909999999	0.131136623	-0.7255018679999999	-0.514248235	-0.349673186	-1.01266271	0.91903929542794	0.91903929542794	1
5	-0.580912604	-1.665500548	-1.132920207	-0.025191746	-0.426588206	-0.30454745	-0.23600848600000002	-0.6369937170000001	0.9199285997812419	0.9199285997812419	1
6	-0.616998623	-1.272875356	-1.098152942	0.252646405	-0.167641881	-0.062751901	-0.101028867	-0.908189262	0.92546327951886	0.92546327951886	1
7	-0.47097633	-1.317384446	-1.298226515	-0.08273587	-0.19240629899999998	-0.351406428	-0.6297029470000001	-1.561908259	0.9233217886701194	0.9233217886701194	1
8	-0.6198813129999999	-1.4897284030000002	-1.124546287	0.152552372	-0.033078703	-0.201372831	-0.6058585470000001	-1.198801193	0.9671120308231334	0.9671120308231334	1
9	-0.670648536	-1.593252783	-1.829066919	-0.082484553	-0.21323919800000002	-0.0036685790000000004	-0.19442854199999998	-0.929000237	0.9321942922424187	0.9321942922424187	1
10	-0.397392081	-1.031961151	-0.153897081	0.141923944	-0.09817292	0.027253499	0.300797822	0.37380482600000003	0.9023843503765663	0.9023843503765663	1
11	0.317874415	-0.046652437000000005	0.11295083199999999	0.618885702	-0.245073971	-0.325794612	0.159056919	0.670454455	0.9779443573668924	0.9779443573668924	1
12	1.123550977	0.722292268	0.22644862899999998	0.440220667	-0.36998573100000004	-0.9319166590000001	-0.109839934	-0.160054501	0.9407203886797274	0.9407203886797274	1
13	1.061690024	0.320119702	-0.178870902	0.49811345700000004	-0.43991958299999995	-0.636715099	-0.393843089	0.075437195	0.9320040660291872	0.9320040660291872	1
14	1.080132873	0.8147941890000001	0.434401817	0.33564287600000003	-0.46440838700000003	-1.079728083	-0.347979497	-0.425076511	0.9227736897768416	0.9227736897768416	1
15	-0.635789131	-1.015817466	-0.9008444240000001	-0.879235903	-0.849447079	-0.662643584	-0.5526130260000001	-1.80799683	-0.7671450563498332	-0.7671450563498332	1
16	-0.522612613	-0.920424063	-0.625851896	-0.8041183759999999	-0.854413878	-0.8010182579999999	-0.711676256	-1.711835175	-0.8496371637229033	-0.8496371637229033	1
17	-0.637012483	-0.886205556	-0.600567384	-0.866692723	-0.9384118490000001	-1.147771492	-0.832718353	-1.59553819	-0.8350091740413688	-0.8350091740413688	1
18	-0.590029536	-1.287556619	-0.9905247140000001	-1.1147592929999999	-1.146811974	-1.051094819	-0.67380046	-1.8427515630000002	-0.7421101331057891	-0.7421101331057891	1
19	-1.543898323	-2.754580523	-1.24670348	-0.971300759	-0.472069864	-0.012476197	0.167750694	-0.348151486	-0.8622917482657619	-0.8622917482657619	1
20	-1.29033459	-3.4982556089999997	-1.6584064790000002	-0.478718335	-0.40549101600000004	-0.294614211	-0.097444049	-0.581121552	-0.8176273553797142	-0.8176273553797142	1
21	0.9862225490000001	0.638104751	0.324303721	1.212977673	-0.018508783	-0.406158339	0.919169809	0.29106098399999997	0.9225827469147845	0.9225827469147845	1
22	1.113430189	1.043262493	0.794527036	1.4801327930000001	0.437978851	-0.162328318	0.655398369	0.8048442990000001	0.9324854088924286	0.9324854088924286	1
23	1.013467251	0.710182213	0.74741344	1.172226426	-0.18091251600000002	-0.20245208899999997	0.083697221	0.831453852	0.9414088753324207	0.9414088753324207	1
24	-0.41549897399999997	-0.528098325	-0.319651611	0.629820739	-0.400841936	-0.295586328	-0.298862914	0.279929195	-0.9434978431546207	-0.9434978431546207	1
25	-0.426689527	-0.461117216	-0.579265161	0.270686893	-0.70467633	-0.798898595	-0.42832073200000004	-0.182561075	-0.9160462123580243	-0.9160462123580243	1
26	-0.319405591	-0.424419719	-0.22938395600000003	0.42886509700000003	-0.49007870600000003	-0.8611691640000001	-0.835883857	-0.522413841	-0.849293029055088	-0.849293029055088	1
27	-0.530661599	-0.442279673	-0.11992675300000001	0.251050069	-0.19046805	-0.529680109	-0.9862815620000001	-0.336021854	-0.7567126214684139	-0.7567126214684139	1
28	-0.781800568	-0.34494658899999997	-0.081128947	0.689557905	-0.11757962	-0.453053243	-0.081728176	-0.31862931699999997	-0.8005397617269044	-0.8005397617269044	1
29	-0.23872174399999999	-0.5010421829999999	-0.128168838	0.606900394	0.24818128600000003	-0.068352202	-0.6534519879999999	0.300338616	-0.9926900272464871	-0.9926900272464871	1
30	-1.630184268	0.189721362	1.016600571	1.684334148	1.5619663719999999	1.075468504	1.075964945	1.297676939	-0.8786072334520768	-0.8786072334520768	1
31	-0.414435147	-0.9621724429999999	-0.612117153	0.329252037	-0.694503537	-0.935395539	-0.24812625800000002	-0.474603065	-0.8908306090757452	-0.8908306090757452	1
32	-1.259229058	-0.805998625	-0.35894192700000005	0.325726794	-0.247567924	-0.95356457	-0.379365554	-0.669414201	-0.7169272639027191	-0.7169272639027191	1
33	-0.037873563	-0.562175674	-0.8470366429999999	-0.242125185	-1.213146434	-2.185331135	-1.757604094	-1.07386601	-0.9018526678658267	-0.9018526678658267	1
34	-0.09739191800000001	-0.48341676899999997	-0.92217511	-0.131177385	-1.245907583	-2.425724309	-1.9257737719999999	-1.394463292	-0.8774186791535374	-0.8774186791535374	1
35	-0.152505606	-0.487547534	-1.029450738	-0.284178249	-1.311136021	-2.421513187	-2.052412882	-1.530514607	-0.8273697239757931	-0.8273697239757931	1
36	1.29886769	1.377945912	1.527310327	1.671548424	1.553146787	1.360815739	1.522605004	1.165436937	0.9415431460219369	0.9415431460219369	2
37	1.302214989	1.364631935	1.485582903	1.670552813	1.375458835	1.598300127	1.573589684	1.1076430659999998	0.9315309650949136	0.9315309650949136	2
38	1.294199582	1.365673385	1.622505078	1.755307135	1.446623332	1.6440003	1.4956722630000001	1.0417236859999999	0.9293041811158093	0.9293041811158093	2
39	-1.025872403	-1.3425366330000001	-0.701073142	-0.62187626	-0.967564037	-0.233725884	-0.967355328	-0.23442849699999999	-0.5418016113375467	-0.5418016113375467	2
40	-0.36936440000000004	-1.100426871	-1.138038789	-1.229120102	-0.8194121059999999	-0.268659695	-1.4277928659999999	0.031881964	-0.5181838240834551	-0.5181838240834551	2
41	-0.574588137	-1.03596709	-0.893449327	-1.071422184	-0.866907135	-0.42756553700000005	-0.842402781	-0.130375186	-0.3776322680434347	-0.3776322680434347	2
42	-0.711871047	-1.733722485	-1.36797488	-1.200410171	-1.310562454	-1.099713921	-0.9786102390000001	-0.35165667899999997	-0.47996961828977835	-0.47996961828977835	2
43	-1.0091012990000001	-1.408925905	-1.18965624	-1.2887775959999999	-0.8448173609999999	-0.527876189	-0.37164077799999995	0.015925782	-0.41728653289401074	-0.41728653289401074	2
44	-1.728020811	-1.267533204	-1.312166553	-1.363899306	-0.637526636	-1.027801767	-0.054326016	-0.158473473	-0.4942875307397969	-0.4942875307397969	2
45	-1.886447154	-1.228386443	-1.3799429840000002	-1.61296976	-1.006297695	-1.1098097	-0.650642854	-0.510263141	-0.41296455213648925	-0.41296455213648925	2
46	-1.981244592	-1.156186993	-1.287938408	-1.166454397	-0.655523532	-1.007756938	-0.37337708	-0.092318666	-0.5499366088466494	-0.5499366088466494	2
47	-0.564856809	-0.913885845	-0.61782588	-1.0025768640000001	-0.645849751	-0.10799044199999999	-0.091614968	0.11886468	-0.710702884443577	-0.710702884443577	2
48	-0.449691954	-0.7478200970000001	-0.477771082	-0.763911725	-0.7215417709999999	-0.231125737	-0.187669935	0.07131942	-0.7103298321537561	-0.7103298321537561	2
49	-0.359249971	-0.58641394	-0.574053245	-0.611888122	-0.924519145	-0.32055631	-0.50507209	-0.252384891	-0.7154533040872074	-0.7154533040872074	2
50	-0.25740377600000003	-0.641117242	-0.327644428	-0.6316913160000001	-0.946657765	0.004275653	-0.19246638800000002	-0.086953388	-0.687793001862016	-0.687793001862016	2
51	-0.475581808	-0.928587107	-0.649071957	-0.510664725	-1.1556916879999999	-0.136370929	0.13459405	3.63e-05	-0.7040452459499187	-0.7040452459499187	2
52	-0.27698285100000003	-0.9703883059999999	-0.8156206640000001	-1.50879384	-0.9600969540000001	-0.27894351100000003	-0.470813446	0.004103698	-0.6446136571606655	-0.6446136571606655	2
53	-0.6108602870000001	-1.097473341	-0.621446199	-0.5322143	-1.051977434	-0.558942678	-0.362767975	0.07955117	-0.5887920783976546	-0.5887920783976546	2
54	-0.117342216	-1.035326542	-0.985592347	-1.225041544	-1.82159154	-0.498876049	-0.452698551	-0.26880949600000004	-0.6938216571923193	-0.6938216571923193	2
55	-0.523872417	-0.976319705	-0.895265064	-1.324571288	-1.719107671	-0.550999856	-0.437918474	-0.47242607799999997	-0.5989638396092264	-0.5989638396092264	2
56	-0.017240231	-0.38902707799999997	0.242216412	-0.22260928800000002	0.344838761	0.7974024390000001	0.19036583	-0.01238466	1.4695657835817004	1.4695657835817004	3
57	0.25977125	-0.209464127	0.553605938	-0.053446825	0.46669286	1.000748395	0.385696359	0.25629139300000003	1.4555070013687836	1.4555070013687836	3
58	1.336888192	1.37678494	1.727839705	1.780657985	1.71084308	1.7376462940000001	1.6720634669999999	2.1019308690000003	0.9421472649120488	0.9421472649120488	3
59	1.2655991659999999	1.3913444080000001	1.795126402	1.920778911	1.9773868490000002	1.805822632	1.583318936	1.7201863030000002	0.9313532464250633	0.9313532464250633	3
60	0.198061398	1.0905319759999998	1.591912741	1.419771212	1.6852636140000001	1.31493522	1.427681665	1.6889712730000002	-0.5656313724370498	-0.5656313724370498	3
