,Lugar,Grabadora,Transformación,Permanencia,Longitud,ACIft,ADI,ACItf,BI,TE,ESM,NDSI,P,M,NP,MID,BNF,BNT,MD,FM,SF,RMS,CF,ADIm1,ADIm2,ADIm3,ADIm4,ADIm5,ADIm6,ADIm7,ADIm8,ADIm9,ADIm10,ADIm11
20160226,Bolívar,5071,Baja,Alta,"75º11'14.7""W",-0.5602555127,-0.4308777436,-0.6126987998,1.1219178166,0.8603238244,1.0011251572,-0.4607722626,0.1561413584,0.166849813,-0.504656277,0.7479737046,-0.6185939446,-0.9981464303,0.3069491846,0.2644145136,-0.1648174005,0.0926222902,-0.5746005422,1.0134672515,0.7101822132,0.74741344,1.172226426,-0.1809125164,-0.2024520885,0.0836972207,0.8314538525,0.7070208071,0.7608036527,0.590934447
20160214,Bolívar,5067,Media,Alta,"75º09'33.7""W",-0.2803383736,-0.1538010065,-0.642551068,0.0410677313,0.2733315957,0.5742406592,-0.2490398732,0.2686567905,-1.2313464126,-0.7808409018,-0.2511843458,-0.5044849767,-0.9981464303,-0.6794322145,0.6188550111,0.2289202503,-1.1720680291,-0.5161763924,-0.415498974,-0.5280983247,-0.3196516112,0.6298207393,-0.4008419355,-0.2955863285,-0.2988629144,0.2799291954,0.2814256108,0.266629758,0.5465060384
20160215,Bolívar,5067,Media,Alta,"75º09'33.7""W",-0.3164019773,-0.4174273981,-0.4816394579,0.1044407,0.1645046568,0.5066119646,0.1181641411,0.4031717597,-1.2211484766,-0.589284278,-0.4694834122,-0.5173815198,-0.9981464303,-0.6597485451,0.4679034881,0.2455679366,-1.1419324718,-0.3801414929,-0.4266895266,-0.4611172157,-0.5792651607,0.2706868932,-0.7046763303,-0.7988985946,-0.4283207317,-0.1825610747,-0.1193757628,-0.0101685125,0.310122034
20160216,Bolívar,5067,Media,Alta,"75º09'33.7""W",-0.3335084059,-0.4960360688,-0.7048689069,-0.2125628788,-0.0865656152,0.4715758878,0.0744726254,-0.2321041336,-1.2085650265,-0.5686048697,-0.2981497156,-0.5040173344,-0.9981464303,-0.7858269885,0.8479040272,0.1723891514,-1.0545741784,-0.3003690235,-0.3194055914,-0.4244197192,-0.2293839563,0.4288650967,-0.4900787056,-0.8611691637,-0.8358838568,-0.5224138406,0.1466246292,0.0284990558,0.4297846248
20160224,Bolívar,5067,Media,Alta,"75º09'33.7""W",-0.7559004968,-0.8838181442,-0.7092822183,-1.0859579374,-0.2995602811,0.4001226511,-0.0894375029,-0.6618480669,-1.1788009055,-0.5911264454,-0.4799496168,-0.5074256494,-0.9981464303,-0.8292018464,0.6677923628,0.4448866076,-0.9476075368,-0.2355138363,-0.5306615989,-0.4422796732,-0.119926753,0.2510500688,-0.1904680504,-0.5296801087,-0.986281562,-0.3360218541,0.3317415517,0.1878289874,0.3789414665
20160225,Bolívar,5067,Media,Alta,"75º09'33.7""W",-0.8112257619,-1.8190706501,-0.6369464221,-1.0883295109,-0.4220673103,0.3214457021,-0.5036461942,-0.3201642631,-1.1867367758,-0.5801265805,-0.52805063,-0.4962917817,-0.9981464303,-0.8968159652,0.5533890357,-0.3152048887,-1.0053386555,-0.2730782455,-0.7818005682,-0.3449465895,-0.081128947,0.6895579048,-0.1175796202,-0.4530532425,-0.0817281765,-0.3186293173,0.0198104849,0.1757153256,0.4031581542
20160226,Bolívar,5067,Media,Alta,"75º09'33.7""W",-0.8888069314,-0.0924459366,-0.5427908004,-1.0505536296,0.6647065944,1.1187350755,-0.0694329464,-0.6268884238,-1.2602232868,-0.7266984511,0.1639887383,-0.5699675713,-0.9981464303,-0.4475219927,0.2239160853,1.4245937367,-1.213848933,-0.3397473463,-0.2387217436,-0.5010421832,-0.1281688385,0.6069003935,0.2481812863,-0.0683522023,-0.6534519876,0.3003386163,0.7914288493,0.8097702943,1.0657786899
20160227,Bolívar,5067,Media,Alta,"75º09'33.7""W",-1.000235308,-1.3564070825,-1.155484463,-1.7326882605,0.1182493447,1.2455455215,-1.5761133994,-0.2765123892,-1.2251198527,-0.7376838759,-0.4877904939,-0.5302509281,-0.9981464303,-0.4453077651,1.3556564142,0.5010266413,-1.0802248559,0.6208455409,-1.6301842681,0.1897213619,1.016600571,1.6843341476,1.5619663718,1.0754685041,1.0759649448,1.2976769394,0.9980669688,0.8324508947,0.7309068516
20160305,Bolívar,5067,Media,Alta,"75º09'33.7""W",-0.2728117529,-0.1287820024,-0.4549719053,0.0791072653,0.0528536521,0.3393690437,-0.0703699404,0.4734338457,-1.2129759379,-0.4689407743,-0.2022599305,-0.4974717458,-0.9981464303,-0.8309119307,0.4581664698,0.2604553706,-1.1128744755,-0.3743084544,-0.4144351468,-0.9621724432,-0.6121171534,0.3292520374,-0.694503537,-0.9353955393,-0.2481262579,-0.4746030648,0.0541068293,0.006944342,0.0977473846
20160306,Bolívar,5067,Media,Alta,"75º09'33.7""W",-0.6150860799,-1.2879789456,-0.8738264807,-0.8283798412,-0.6577635653,0.5148395529,-0.5244382655,-0.2092362453,-1.1584851502,-0.4766390322,-0.5593971793,-0.4647551837,-0.9981464303,-0.9362661867,0.9393598893,-0.3168876414,-0.9103132921,-0.1482691318,-1.2592290576,-0.8059986249,-0.358941927,0.3257267938,-0.2475679236,-0.9535645705,-0.379365554,-0.6694142006,0.0510224308,0.1892738448,0.3619672623
20160315,Bolívar,5067,Media,Alta,"75º09'33.7""W",0.1624751681,0.8685963139,-0.3934133889,0.8051548263,0.1045208527,0.1655900187,0.6014285544,0.6668658189,-1.2153120356,-0.7514496762,-0.1534492701,-0.51108413,-0.9981464303,-0.9928888271,0.4072511453,-0.0846236061,-1.1270009868,-0.3974649795,-0.0378735628,-0.5621756745,-0.8470366431,-0.2421251847,-1.2131464336,-2.1853311349,-1.757604094,-1.0738660102,-0.8201677063,-0.5914334854,-0.5368297244
